section	offset	end	size	realsz	name	safe_name	kind	nbbs	ninstrs	edges	indegree	outdegree	nlocals	nargs	stackframe	noreturn	signature
.text	0x507e50	0x507e70	32	32	method.std::time_put_byname_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_8	native_stub_00507e50_method_std_time_put_byname_wchar_t_std_ostreambuf_iterator_wchar_t_std_c	native_discovered	1	9	0	0	1	0	1	8	0	method.std::time_put_byname_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_8 (int64_t arg1);
.text	0x507e70	0x507e90	32	32	method.std::time_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_8	native_stub_00507e70_method_std_time_get_wchar_t_std_istreambuf_iterator_wchar_t_std_char_tra	native_discovered	1	9	0	0	1	0	1	8	0	method.std::time_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_8 (int64_t arg1);
.text	0x507e90	0x507eb0	32	32	method.std::time_get_byname_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_8	native_stub_00507e90_method_std_time_get_byname_wchar_t_std_istreambuf_iterator_wchar_t_std_c	native_discovered	1	9	0	0	1	0	1	8	0	method.std::time_get_byname_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_8 (int64_t arg1);
.text	0x507eb0	0x507ef8	72	72	method.std::moneypunct_wchar_t__false_.virtual_32	native_stub_00507eb0_method_std_moneypunct_wchar_t_false_virtual_32	native_discovered	3	18	2	0	2	2	2	24	0	method.std::moneypunct_wchar_t__false_.virtual_32 (int64_t arg1, int64_t arg2);
.text	0x507f00	0x507f48	72	72	method.std::moneypunct_wchar_t__true_.virtual_32	native_stub_00507f00_method_std_moneypunct_wchar_t_true_virtual_32	native_discovered	3	18	2	0	2	2	2	24	0	method.std::moneypunct_wchar_t__true_.virtual_32 (int64_t arg1, int64_t arg2);
.text	0x507f50	0x507f98	72	72	method.std::numpunct_wchar_t_.virtual_32	native_stub_00507f50_method_std_numpunct_wchar_t_virtual_32	native_discovered	3	18	2	0	2	2	2	24	0	method.std::numpunct_wchar_t_.virtual_32 (int64_t arg1, int64_t arg2);
.text	0x507fa0	0x507fe8	72	72	method.std::moneypunct_wchar_t__false_.virtual_40	native_stub_00507fa0_method_std_moneypunct_wchar_t_false_virtual_40	native_discovered	3	18	2	0	2	2	2	24	0	method.std::moneypunct_wchar_t__false_.virtual_40 (int64_t arg1, int64_t arg2);
.text	0x507ff0	0x508038	72	72	method.std::moneypunct_wchar_t__false_.virtual_48	native_stub_00507ff0_method_std_moneypunct_wchar_t_false_virtual_48	native_discovered	3	18	2	0	2	2	2	24	0	method.std::moneypunct_wchar_t__false_.virtual_48 (int64_t arg1, int64_t arg2);
.text	0x508040	0x508088	72	72	method.std::moneypunct_wchar_t__false_.virtual_56	native_stub_00508040_method_std_moneypunct_wchar_t_false_virtual_56	native_discovered	3	18	2	0	2	2	2	24	0	method.std::moneypunct_wchar_t__false_.virtual_56 (int64_t arg1, int64_t arg2);
.text	0x508090	0x5080d8	72	72	method.std::moneypunct_wchar_t__true_.virtual_40	native_stub_00508090_method_std_moneypunct_wchar_t_true_virtual_40	native_discovered	3	18	2	0	2	2	2	24	0	method.std::moneypunct_wchar_t__true_.virtual_40 (int64_t arg1, int64_t arg2);
.text	0x5080e0	0x508128	72	72	method.std::moneypunct_wchar_t__true_.virtual_48	native_stub_005080e0_method_std_moneypunct_wchar_t_true_virtual_48	native_discovered	3	18	2	0	2	2	2	24	0	method.std::moneypunct_wchar_t__true_.virtual_48 (int64_t arg1, int64_t arg2);
.text	0x508130	0x508178	72	72	method.std::moneypunct_wchar_t__true_.virtual_56	native_stub_00508130_method_std_moneypunct_wchar_t_true_virtual_56	native_discovered	3	18	2	0	2	2	2	24	0	method.std::moneypunct_wchar_t__true_.virtual_56 (int64_t arg1, int64_t arg2);
.text	0x508180	0x5081c8	72	72	method.std::numpunct_wchar_t_.virtual_40	native_stub_00508180_method_std_numpunct_wchar_t_virtual_40	native_discovered	3	18	2	0	2	2	2	24	0	method.std::numpunct_wchar_t_.virtual_40 (int64_t arg1, int64_t arg2);
.text	0x5081d0	0x508218	72	72	method.std::numpunct_wchar_t_.virtual_48	native_stub_005081d0_method_std_numpunct_wchar_t_virtual_48	native_discovered	3	18	2	0	2	2	2	24	0	method.std::numpunct_wchar_t_.virtual_48 (int64_t arg1, int64_t arg2);
.text	0x508220	0x508245	37	37	method.std::collate_wchar_t_.virtual_0	native_stub_00508220_method_std_collate_wchar_t_virtual_0	native_discovered	1	10	1	0	1	0	1	8	0	method.std::collate_wchar_t_.virtual_0 (int64_t arg1);
.text	0x508250	0x50827d	45	45	method.std::collate_wchar_t_.virtual_8	native_stub_00508250_method_std_collate_wchar_t_virtual_8	native_discovered	1	12	0	0	2	0	1	8	0	method.std::collate_wchar_t_.virtual_8 (int64_t arg1);
.text	0x508280	0x5082a5	37	37	method.std::collate_byname_wchar_t_.virtual_0	native_stub_00508280_method_std_collate_byname_wchar_t_virtual_0	native_discovered	1	10	1	0	1	0	1	8	0	method.std::collate_byname_wchar_t_.virtual_0 (int64_t arg1);
.text	0x5082b0	0x5082dd	45	45	method.std::collate_byname_wchar_t_.virtual_8	native_stub_005082b0_method_std_collate_byname_wchar_t_virtual_8	native_discovered	1	12	0	0	2	0	1	8	0	method.std::collate_byname_wchar_t_.virtual_8 (int64_t arg1);
.text	0x5082e0	0x508338	88	88	fcn.005082e0	native_stub_005082e0_fcn_005082e0	r2_discovered	6	27	8	1	4	0	1	24	0	fcn.005082e0 (int64_t arg1);
.text	0x508340	0x508352	18	18	method.std::__timepunct_wchar_t_.virtual_8	native_stub_00508340_method_std_timepunct_wchar_t_virtual_8	native_discovered	1	6	0	0	1	0	1	8	0	method.std::__timepunct_wchar_t_.virtual_8 (int64_t arg1);
.text	0x508360	0x5083a9	73	73	fcn.00508360	native_stub_00508360_fcn_00508360	r2_discovered	4	22	5	6	3	0	1	24	0	fcn.00508360 (int64_t arg1);
.text	0x5083b0	0x5083c2	18	18	method.std::messages_wchar_t_.virtual_8	native_stub_005083b0_method_std_messages_wchar_t_virtual_8	native_discovered	1	6	0	0	1	0	1	8	0	method.std::messages_wchar_t_.virtual_8 (int64_t arg1);
.text	0x5083d0	0x5083e3	19	19	method.std::messages_byname_wchar_t_.virtual_0	native_stub_005083d0_method_std_messages_byname_wchar_t_virtual_0	native_discovered	1	4	1	0	0	0	1	0	0	method.std::messages_byname_wchar_t_.virtual_0 (int64_t arg1);
