rank	offset	end	bytes	semantic_covered_bytes	semantic_uncovered_bytes	coverage_x100	kind	name	nbbs	ninstrs	outdegree	priority_class	next_action	selected_range
2728	0x4efe30	0x4f05d2	1954	0	1954	0	r2_discovered	fcn.004efe30	7	289	22	tier1_medium_native_gap	targeted_retdec_single_function	0x4efe30-0x4f05d2
2729	0x57a488	0x57ac05	1917	0	1917	0	r2_discovered	fcn.0057a488	113	481	48	tier1_medium_native_gap	targeted_retdec_single_function	0x57a488-0x57ac05
2730	0x49120a	0x491976	1900	0	1900	0	r2_discovered	fcn.0049120a	90	418	22	tier1_medium_native_gap	targeted_retdec_single_function	0x49120a-0x491976
2731	0x45b82	0x462e6	1892	0	1892	0	r2_discovered	fcn.00045b82	3	574	0	tier1_medium_native_gap	targeted_retdec_single_function	0x45b82-0x462e6
2732	0x4b9690	0x4b9dd5	1861	0	1861	0	r2_discovered	fcn.004b9690	88	446	75	tier1_medium_native_gap	targeted_retdec_single_function	0x4b9690-0x4b9dd5
2733	0x424fb	0x42c3c	1857	0	1857	0	r2_discovered	fcn.000424fb	79	453	29	tier1_medium_native_gap	targeted_retdec_single_function	0x424fb-0x42c3c
2734	0x5174fc	0x517bec	1776	0	1776	0	r2_discovered	fcn.005174fc	123	410	19	tier1_medium_native_gap	targeted_retdec_single_function	0x5174fc-0x517bec
2735	0x27281	0x27958	1751	0	1751	0	r2_discovered	fcn.00027281	80	439	67	tier1_medium_native_gap	targeted_retdec_single_function	0x27281-0x27958
2736	0x49dd10	0x49e3d4	1732	0	1732	0	r2_discovered	fcn.0049dd10	71	388	27	tier1_medium_native_gap	targeted_retdec_single_function	0x49dd10-0x49e3d4
2737	0x535b00	0x5361c1	1729	0	1729	0	r2_discovered	fcn.00535b00	122	465	18	tier1_medium_native_gap	targeted_retdec_single_function	0x535b00-0x5361c1
