kind	site	source_entries	target_entry	target	count	unique_vm_ips
tail	0xb837a	307	26	0x7dbbb	414	19
tail	0xb0458	268	243	0xaab6a	411	21
tail	0xb837a	307	114	0x90319	410	59
tail	0x8536e	64	215	0xa4609	410	55
tail	0x9c08c	174	258	0xadf2c	409	27
tail	0x9dcab	185	337	0xbec0e	407	56
tail	0xa0068	194,195,196	18	0x7be9b	406	31
tail	0xae32f	258	196	0x9fbcd	404	24
tail	0x90893	113,114	158	0x99029	402	37
tail	0xa4a5e	215	258	0xadf2c	401	40
tail	0xa5886	219,220	108	0x8f24b	400	40
tail	0x81b7c	43	258	0xadf2c	397	28
tail	0x992ca	158	340	0xbf435	396	34
tail	0xb7583	301	173	0x9ba74	396	27
tail	0x9d961	184	337	0xbec0e	394	39
tail	0x992ca	158	64	0x85059	393	29
tail	0x7dfbd	26	157	0x98a9a	391	29
tail	0xbf126	337	297	0xb64d7	389	75
tail	0xa4a5e	215	337	0xbec0e	389	46
tail	0xa4a5e	215	196	0x9fbcd	386	17
tail	0xc0d7b	347	307	0xb8064	386	61
tail	0x88a55	78,79	257	0xadbfd	385	34
tail	0x7e7ca	28	168	0x9aa83	385	38
tail	0xae32f	258	199	0xa0631	385	56
tail	0xbada2	318,319	173	0x9ba74	385	20
tail	0xa1936	202,203	297	0xb64d7	385	25
tail	0x8cc7f	98,99	198	0xa037e	384	3
tail	0xbf886	340	161	0x9975a	382	33
tail	0x9eac9	189	18	0x7be9b	374	67
tail	0xb7583	301	352	0xc1ec4	374	32
tail	0x99026	157	258	0xadf2c	369	25
tail	0x9af16	168	189	0x9e7af	369	30
tail	0x99b3a	161	66	0x855ff	368	20
tail	0x9af16	168	340	0xbf435	367	30
tail	0x9af16	168	337	0xbec0e	366	29
tail	0xae32f	258	176	0x9c10b	365	25
tail	0xae32f	258	157	0x98a9a	365	37
tail	0x9eac9	189	184	0x9d694	365	25
tail	0x99026	157	18	0x7be9b	364	33
tail	0x86763	69,70	108	0x8f24b	363	22
tail	0x9eac9	189	305	0xb78b0	363	20
tail	0x82e73	49	198	0xa037e	361	21
tail	0x9ba72	172	28	0x7e390	360	23
tail	0xb7bb8	305	189	0x9e7af	360	21
tail	0xb68ff	297	333	0xbd8af	360	27
tail	0x859f9	66	158	0x99029	359	30
tail	0xc0d7b	347	158	0x99029	358	27
tail	0xb837a	307	340	0xbf435	358	45
tail	0xb86f5	309,310	171	0x9b4b3	358	30
tail	0xa1936	202,203	258	0xadf2c	357	27
tail	0xc0d7b	347	20	0x7c62b	355	29
tail	0xb837a	307	196	0x9fbcd	353	31
tail	0x9af16	168	347	0xc088d	353	26
tail	0xa4a5e	215	123	0x91a59	353	25
tail	0x9b687	171	196	0x9fbcd	351	7
